24/11/2015,960
25/11/2015,912
26/11/2015,714
28/11/2015,738
29/11/2015,816
30/11/2015,840
01/12/2015,1008
03/12/2015,1068
04/12/2015,954
05/12/2015,1212
06/12/2015,936
07/12/2015,1026
08/12/2015,960
09/12/2015,936
10/12/2015,966
11/12/2015,1062
12/12/2015,858
13/12/2015,834
14/12/2015,888
15/12/2015,912
16/12/2015,936
17/12/2015,870
18/12/2015,894
19/12/2015,1020
20/12/2015,900
21/12/2015,996
22/12/2015,948
23/12/2015,1152
24/12/2015,1008
25/12/2015,1104
26/12/2015,852
27/12/2015,918
28/12/2015,972
29/12/2015,924
30/12/2015,900
01/01/2016,1026
02/01/2016,1032
03/01/2016,1020
04/01/2016,972
05/01/2016,924
06/01/2016,948
07/01/2016,972
08/01/2016,888
09/01/2016,996
10/01/2016,924
11/01/2016,876
12/01/2016,1044
13/01/2016,1068
14/01/2016,1008
15/01/2016,1140
16/01/2016,1002
17/01/2016,1092
18/01/2016,972
19/01/2016,996
20/01/2016,1002
21/01/2016,912
22/01/2016,983
23/01/2016,1008
29/01/2016,960
30/01/2016,960
31/01/2016,666
01/02/2016,948
02/02/2016,1056
03/02/2016,1110
04/02/2016,1068
05/02/2016,1062
06/02/2016,960
07/02/2016,996
08/02/2016,960
09/02/2016,1122
10/02/2016,1026
11/02/2016,1013
13/02/2016,972
14/02/2016,960
15/02/2016,990
16/02/2016,816
18/02/2016,1044
19/02/2016,996
20/02/2016,594
21/02/2016,744
22/02/2016,744
23/02/2016,846
24/02/2016,852
25/02/2016,852
26/02/2016,834
27/02/2016,972
28/02/2016,840
29/02/2016,930
01/03/2016,936
02/03/2016,983
03/03/2016,1080
04/03/2016,1080
06/03/2016,1200
07/03/2016,1248
08/03/2016,1008
09/03/2016,1032
10/03/2016,983
11/03/2016,948
12/03/2016,983
13/03/2016,1056
14/03/2016,960
15/03/2016,1026
17/03/2016,1013
18/03/2016,1086
21/03/2016,966
22/03/2016,1068
23/03/2016,1044
24/03/2016,1026
25/03/2016,1122
26/03/2016,1038
28/03/2016,1116
29/03/2016,876
31/03/2016,900
01/04/2016,1008
02/04/2016,816
03/04/2016,900
05/04/2016,888
06/04/2016,972
07/04/2016,912
08/04/2016,936
09/04/2016,1044
10/04/2016,828
11/04/2016,888
12/04/2016,774
13/04/2016,792
14/04/2016,876
17/04/2016,828
18/04/2016,864
19/04/2016,768
20/04/2016,876
21/04/2016,870
22/04/2016,948
24/04/2016,912
25/04/2016,1098
26/04/2016,864
27/04/2016,1013
28/04/2016,876
29/04/2016,900
01/05/2016,0
02/05/2016,1158
03/05/2016,1098
04/05/2016,983
05/05/2016,936
06/05/2016,876
08/05/2016,750
09/05/2016,720
10/05/2016,696
11/05/2016,834
12/05/2016,924
14/05/2016,1086
17/05/2016,960
18/05/2016,978
19/05/2016,972
20/05/2016,852
22/05/2016,954
23/05/2016,1068
24/05/2016,1026
25/05/2016,1104
26/05/2016,1044
27/05/2016,1146
28/05/2016,1176
29/05/2016,1044
30/05/2016,1032
31/05/2016,1020
01/06/2016,1080
02/06/2016,1002
03/06/2016,1002
04/06/2016,1013
05/06/2016,1008
06/06/2016,846
07/06/2016,900
08/06/2016,876
09/06/2016,840
10/06/2016,786
11/06/2016,768
12/06/2016,864
13/06/2016,1044
14/06/2016,1098
16/06/2016,948
17/06/2016,1044
19/06/2016,960
20/06/2016,1050
21/06/2016,960
22/06/2016,834
23/06/2016,942
24/06/2016,840
25/06/2016,924
28/06/2016,912
29/06/2016,1020
01/07/2016,978
02/07/2016,906
03/07/2016,0
04/07/2016,828
05/07/2016,744
07/07/2016,840
08/07/2016,828
09/07/2016,780
10/07/2016,660
11/07/2016,870
12/07/2016,792
15/07/2016,726
16/07/2016,870
17/07/2016,870
20/07/2016,966
22/07/2016,996
23/07/2016,990
24/07/2016,798
25/07/2016,828
26/07/2016,846
27/07/2016,930
30/07/2016,852
02/08/2016,756
05/08/2016,894
06/08/2016,828
07/08/2016,1074
08/08/2016,1020
11/08/2016,1044
14/08/2016,864
15/08/2016,792
16/08/2016,906
19/08/2016,1002
21/08/2016,888
22/08/2016,822
23/08/2016,870
24/08/2016,864
25/08/2016,840
26/08/2016,882
27/08/2016,834
28/08/2016,828
30/08/2016,774
31/08/2016,786
01/09/2016,828
03/09/2016,1062
04/09/2016,1002
05/09/2016,828
06/09/2016,828
07/09/2016,864
08/09/2016,840
09/09/2016,924
10/09/2016,840
11/09/2016,900
12/09/2016,882
13/09/2016,924
14/09/2016,816
15/09/2016,1038
18/09/2016,900
19/09/2016,870
20/09/2016,828
21/09/2016,924
22/09/2016,954
23/09/2016,936
24/09/2016,972
25/09/2016,990
26/09/2016,960
27/09/2016,948
28/09/2016,822
29/09/2016,816
30/09/2016,834
01/10/2016,798
02/10/2016,960
03/10/2016,978
04/10/2016,834
05/10/2016,816
06/10/2016,816
07/10/2016,822
08/10/2016,768
09/10/2016,726
10/10/2016,828
11/10/2016,846
12/10/2016,948
13/10/2016,978
14/10/2016,918
15/10/2016,972
