1,2,3,4,5,6,7,8,9,10
0.348623853,0.591776941,0.717645717,0.829907059,0.584973223,0.646206682,0.588375082,0.910766384,0.743252658,1
0.445468638,0.629197388,0.704038282,0.785682894,0.656412259,0.646206682,0.544150917,1,0.827557755,0.9529828
0.319593421,0.663215976,0.693832706,0.751664306,0.612188094,0.618991811,0.44889887,1,0.743252658,0.995725709
0.574752888,0.618991811,0.707440141,0.683627129,0.561160211,0.642804823,0.62239367,0.965511551,0.475009166,0.918788473
0.513517303,0.605384376,0.714243859,0.625795529,0.428487717,0.690430847,0.62239367,0.628291161,0.509497615,0.935885637
0.56114498,0.523739764,0.636001106,0.642804823,0.503328611,0.629197388,0.704038282,0.720260358,0.486505315,1
0.591762772,0.496524894,0.666617835,0.707440141,0.476113741,0.717645717,0.598580659,0.697268059,0.643619361,0.981731568
0.578154865,0.4795156,0.751664306,0.663215976,0.588375082,0.612188094,0.598580659,0.766244957,0.67427576,0.794480135
0.608772657,0.510132329,0.765271741,0.673421553,0.789084753,0.639402964,0.404674705,0.781573157,0.643619361,0.858419649
0.584958818,0.544150917,0.710842,0.656412259,0.629197388,0.6530104,0.605384376,0.712596259,0.67044371,0.849285433
0.618978587,0.527141623,0.717645717,0.567963929,0.629197388,0.605384376,0.717645717,0.923359002,0.727924458,0.876688081
0.635988472,0.431889576,0.704038282,0.5373472,0.598580659,0.629197388,0.799290329,0.888870553,0.540154014,0.885822297
0.554341026,0.544150917,0.731253153,0.5951788,0.656412259,0.581571364,0.693832706,0.735588558,0.635955261,0.812748568
0.598566726,0.578169506,0.697234564,0.612188094,0.632599247,0.629197388,0.700636423,0.735588558,0.478841216,0.844718325
0.489703465,0.612188094,0.700636423,0.588375082,0.734655012,0.588375082,0.683627129,0.773909057,0.455848916,0.872120973
0.537331142,0.571365788,0.710842,0.618991811,0.697234564,0.557758353,0.649608541,0.628291161,0.513329664,0.835584108
0.544135096,0.591776941,0.717645717,0.598580659,0.690430847,0.632599247,0.663215976,0.808397506,0.417528417,0.917792054
0.567948934,0.639402964,0.806094047,0.629197388,0.789084753,0.6530104,0.687028988,0.681939859,0.605298862,0.894956514
0.499909396,0.656412259,0.629197388,0.605384376,0.673421553,0.612188094,0.683627129,0.727924458,0.559314263,0.876688081
0.574752888,0.646206682,0.533945341,0.550954635,0.663215976,0.666617835,0.707440141,0.846718005,0.812229556,0.917792054
0.557743003,0.683627129,0.544150917,0.608786235,0.673421553,0.693832706,0.799290329,0.781573157,0.570810413,1
0.523723234,0.714243859,0.530543482,0.578169506,0.666617835,0.697234564,0.812897765,0.754748807,0.432856617,0.952596961
0.527125211,0.656412259,0.50673047,0.618991811,0.6530104,0.700636423,0.887738659,0.831389805,0.543986064,0.952596961
0.472693581,0.707440141,0.618991811,0.62239367,0.639402964,0.704038282,0.843514494,0.831389805,0.543986064,1
0.374036251,0.605384376,0.533945341,0.625795529,0.683627129,0.659814117,0.765271741,0.632123211,0.628291161,0.912801256
0.421663927,0.62239367,0.493123035,0.765271741,0.670019694,0.612188094,0.850318212,0.766244957,0.498001465,0.799955823
0.411457997,0.656412259,0.510132329,0.632599247,0.710842,0.601982517,0.833308918,0.946351302,0.360047669,0.964094635
0.360428343,0.724449435,0.486319317,0.690430847,0.727851294,0.618991811,0.921757247,0.942519252,0.501833515,0.83073185
0.295790782,0.697234564,0.482917458,0.656412259,0.721047576,0.663215976,1,0.781573157,0.67044371,0.840990526
0.370642768,0.666617835,0.615589953,0.571365788,0.724449435,0.625795529,0.832167029,0.835221855,0.704932159,0.938447946
0.306006079,0.687028988,0.799290329,0.601982517,0.683627129,0.646206682,0.893819957,0.842885955,0.727924458,0.948706621
0.258379045,0.721047576,0.823103341,0.656412259,0.632599247,0.649608541,0.921221259,0.819893655,0.731756508,1
0.285609647,0.690430847,0.846916353,0.578169506,0.584973223,0.605384376,1,0.835221855,0.773909057,0
0.370656117,0.670019694,0.663215976,0.642804823,0.642804823,0.550954635,1,0.850550054,0.793069306,0
0.397870988,0.663215976,0.707440141,0.605384376,0.584973223,0.676823412,0.806660499,0.766244957,0.862046204,0
0.438693294,0.687028988,0.739417614,0.683627129,0.625795529,0.673421553,0.806660499,0.747084708,0.839053905,0
0.486319317,0.693832706,0.765271741,0.673421553,0.646206682,0.5951788,0.940510923,0.796901356,0.835221855,0
