1,2,3,4,5,6,7,8,9,10
0.482993197,0.496598639,0.472789116,0.551020408,0.612244898,0.846938776,0.551020408,0.574829932,0.571428571,0.404761905
0.789115646,0.414965986,0.62585034,0.656462585,0.534013605,0.663265306,0.605442177,0.571428571,0.598639456,0.68707483
0.506802721,0.448979592,0.591836735,0.588435374,0.534013605,0.482993197,0.639455782,0.534013605,0.605442177,0.799319728
0.789115646,0.585034014,0.442176871,0.472789116,0.479591837,0.482993197,0.510204082,0.496598639,0.530612245,0.81292517
0.469387755,0.530612245,0.465986395,0.472789116,0.479591837,0.799319728,0.670068027,0.384353741,0.605442177,0.887755102
0.588435374,0.489795918,0.523809524,0.700680272,0.578231293,0.649659864,0.656462585,0.571428571,0.608843537,0.693877551
0.452380952,0.540816327,0.462585034,0.360544218,0.428571429,0.465986395,0.380952381,0.469387755,0.503401361,0.632653061
0.479591837,0.486394558,0.442176871,0,0.571428571,0.571428571,0.557823129,0.482993197,0.506802721,0.819727891
0.56122449,0.431972789,0.551020408,0.448979592,0.43877551,0.591836735,0.605442177,0.578231293,0.486394558,0.56122449
0.425170068,0.465986395,0.448979592,0.530612245,0.43877551,0.394557823,0.551020408,0.421768707,0.462585034,0.680272109
0.425170068,0.394557823,0.649659864,0.380952381,0.476190476,0.404761905,0.523809524,0.649659864,0.445578231,0.840136054
0.568027211,0.394557823,0.448979592,0.520408163,0.476190476,0.459183673,0.551020408,0.578231293,0.384353741,0.741496599
0.568027211,0.673469388,0.605442177,0.581632653,0.739455782,0.459183673,0.523809524,0.408163265,0.571428571,0.734693878
0.588435374,0.428571429,0.581632653,0.448979592,0.421768707,0.704081633,0.527210884,0.544217687,0.465986395,0.370748299
0.523809524,0.428571429,0.411564626,0.534013605,0.462585034,0.598639456,0.503401361,0.517006803,0.469387755,0.595238095
0.523809524,0.408163265,0.408163265,0.707482993,0.540816327,0.676870748,0.578231293,0.404761905,0.482993197,0.646258503
0.462585034,0.455782313,0.408163265,0.442176871,0.431972789,0.823129252,0.482993197,0.418367347,0.421768707,0.68707483
0.469387755,0.455782313,0.615646259,0.496598639,0.534013605,0.472789116,0.537414966,0.493197279,0.476190476,0.887755102
0.602040816,0.727891156,0.642857143,0.544217687,0.534013605,0.765306122,0.571428571,0.510204082,0.418367347,0.731292517
0.673469388,0.455782313,0.547619048,0.469387755,0.517006803,0.517006803,0.506802721,0.591836735,0.540816327,0.744897959
0.520408163,0.479591837,0.544217687,0.462585034,0.517006803,0.676870748,0.551020408,0.568027211,0.571428571,0.731292517
0.520408163,0.479591837,0.455782313,0.476190476,0.5,0,0.523809524,0.544217687,0.517006803,0.43537415
0.503401361,0.615646259,0.537414966,0.384353741,0.5,0.503401361,0.62244898,0.581632653,0.557823129,0.360544218
0.683673469,0.547619048,0.537414966,0.442176871,0.503401361,0.653061224,0.547619048,0.551020408,0.598639456,0.629251701
0.69047619,0.510204082,0.62244898,0.585034014,0.598639456,0.571428571,0.693877551,0.680272109,0.605442177,0.380952381
0.683673469,0.69047619,0.425170068,0.401360544,0.598639456,0.588435374,0.486394558,0.707482993,0.544217687,0.37755102
0.469387755,0.544217687,0.43537415,0.401360544,0.537414966,0.489795918,0.503401361,0.571428571,0.527210884,0.537414966
0.734693878,0.568027211,0.408163265,0.496598639,0.537414966,0.469387755,0.564965986,0.585034014,0.833333333,0.544217687
0.710884354,0.568027211,0.465986395,0.663265306,0.442176871,0.462585034,0.510204082,0.557823129,0.789115646,0.591836735
0.673469388,0.544217687,0.510204082,0.523809524,0.442176871,0.646258503,0.581632653,0.557823129,0.527210884,0.496598639
0.663265306,0.595238095,0.493197279,0.656462585,0.527210884,0.666666667,0.646258503,0.547619048,0.629251701,0.43537415
0.62585034,0.428571429,0.360544218,0.62244898,0.599659864,0.62244898,0.537414966,0.588435374,0.62244898,0.360544218
0.697278912,0.496598639,0.554421769,0.62244898,0.431972789,0.544217687,0.469387755,0.676870748,0.639455782,0.380952381
0.510204082,0.632653061,0.520408163,0.452380952,0.619047619,0.43537415,0.62585034,0.636054422,0.680272109,0.431972789
0.482993197,0.43537415,0.642857143,0.462585034,0.551020408,0.619047619,0.653061224,0.510204082,0.704081633,0.517006803
0.717687075,0.43537415,0.479591837,0.506802721,0.551020408,0.721088435,0.520408163,0.544217687,0.605442177,0.37755102
0.418367347,0.459183673,0.448979592,0.5,0.765306122,0.496598639,0.68707483,0.571428571,0.629251701,0.537414966
0.656462585,0.459183673,0.493197279,0.642857143,0.568027211,0.469387755,0.578231293,0.588435374,0.56462585,0.482993197
